Run time: 2021-02-19 21:54:48 EST

- Session info ---------------------------------------------------------------
 setting  value                       
 version  R version 3.6.1 (2019-07-05)
 os       Windows 10 x64              
 system   x86_64, mingw32             
 ui       RStudio                     
 language (EN)                        
 collate  English_United States.1252  
 ctype    English_United States.1252  
 tz       America/New_York            
 date     2021-02-19                  

- Packages -------------------------------------------------------------------
 package       * version date       lib source        
 promises        1.1.0   2019-10-04 [1] CRAN (R 3.6.1)
 purrr         * 0.3.4   2020-04-17 [1] CRAN (R 3.6.3)
 R6              2.5.0   2020-10-28 [1] CRAN (R 3.6.3)
 raster        * 3.0-12  2020-01-30 [1] CRAN (R 3.6.2)
 Rcpp            1.0.5   2020-07-06 [1] CRAN (R 3.6.3)
 readr         * 1.4.0   2020-10-05 [1] CRAN (R 3.6.3)
 readxl        * 1.3.1   2019-03-13 [1] CRAN (R 3.6.1)
 repr            1.1.0   2020-01-28 [1] CRAN (R 3.6.3)
 reprex          0.3.0   2019-05-16 [1] CRAN (R 3.6.1)
 reticulate      1.18    2020-10-25 [1] CRAN (R 3.6.3)
 rgdal         * 1.4-8   2019-11-27 [1] CRAN (R 3.6.2)
 rgeos         * 0.5-3   2020-05-08 [1] CRAN (R 3.6.3)
 rlang           0.4.7   2020-07-09 [1] CRAN (R 3.6.3)
 rmarkdown     * 2.5     2020-10-21 [1] CRAN (R 3.6.3)
 rprojroot       2.0.2   2020-11-15 [1] CRAN (R 3.6.3)
 rstudioapi      0.13    2020-11-12 [1] CRAN (R 3.6.3)
 rvest           0.3.5   2019-11-08 [1] CRAN (R 3.6.1)
 scales          1.1.1   2020-05-11 [1] CRAN (R 3.6.3)
 sessioninfo     1.1.1   2018-11-05 [1] CRAN (R 3.6.1)
 sf            * 0.8-0   2019-09-17 [1] CRAN (R 3.6.1)
 shiny           1.4.0.2 2020-03-13 [1] CRAN (R 3.6.3)
 skimr         * 2.1.2   2020-07-06 [1] CRAN (R 3.6.3)
 snakecase       0.11.0  2019-05-25 [1] CRAN (R 3.6.1)
 sp            * 1.3-2   2019-11-07 [1] CRAN (R 3.6.2)
 stringi         1.4.6   2020-02-17 [1] CRAN (R 3.6.2)
 stringr       * 1.4.0   2019-02-10 [1] CRAN (R 3.6.1)
 tibble        * 3.0.4   2020-10-12 [1] CRAN (R 3.6.3)
 tidyr         * 1.1.2   2020-08-27 [1] CRAN (R 3.6.3)
 tidyselect      1.1.0   2020-05-11 [1] CRAN (R 3.6.3)
 tidyverse     * 1.3.0   2019-11-21 [1] CRAN (R 3.6.2)
 units           0.6-5   2019-10-08 [1] CRAN (R 3.6.1)
 utf8            1.1.4   2018-05-24 [1] CRAN (R 3.6.1)
 vctrs           0.3.5   2020-11-17 [1] CRAN (R 3.6.3)
 viridisLite     0.3.0   2018-02-01 [1] CRAN (R 3.6.1)
 withr           2.3.0   2020-09-22 [1] CRAN (R 3.6.3)
 xfun            0.19    2020-10-30 [1] CRAN (R 3.6.3)
 xml2            1.2.2   2019-08-09 [1] CRAN (R 3.6.1)
 xtable          1.8-4   2019-04-21 [1] CRAN (R 3.6.1)
 yaml            2.2.0   2018-07-25 [1] CRAN (R 3.6.0)

[1] C:/Users/HoJa/Documents/R/R-3.6.1/library
